,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
jquery,0.1403508771929824,0.2555399753457233,0.2895872367001647
c#,0.1228070175438596,0.0557565798818983,0.2120437349297414
css,0.1228070175438596,0.0413353704854841,0.25787451337276907
asp.net,0.1140350877192982,0.1740669060835365,0.24650814363733023
angularjs,0.1140350877192982,0.1228676279918779,0.2571334946561807
javascript,0.1052631578947368,0.0236574650517498,0.2571334946561807
mysql,0.0964912280701754,0.1976931477327378,0.2778958265228288
linux,0.087719298245614,0.208401608741618,0.24515741408315306
php,0.087719298245614,0.0115465201138781,0.2513552138773901
html5,0.087719298245614,0.0066522337529762,0.23424726738311746
spring,0.0789473684210526,0.0530439040336572,0.2161411984066446
sql-server,0.0789473684210526,0.0035624458060689,0.2047653458589265
hibernate,0.0789473684210526,0.0530439040336572,0.2161411984066446
sass,0.0789473684210526,0.0062847124280314,0.23302722953216373
java,0.0701754385964912,0.0760140516731108,0.20018446563836884
.net,0.0701754385964912,0.0022914957009041,0.20199200031681913
reactjs,0.0701754385964912,0.0154098561328896,0.2237061403508772
wcf,0.0701754385964912,0.0010466285487518,0.20336921850079745
mongodb,0.0701754385964912,0.067372527419104,0.24515741408315306
entity-framework,0.0701754385964912,0.0010466285487518,0.20336921850079745
python,0.0614035087719298,0.1101830602249792,0.2198586145954567
spring-mvc,0.0614035087719298,0.0074596805151066,0.19161125511852437
node.js,0.0614035087719298,0.012514232492177,0.22259317447848478
ajax,0.0614035087719298,0.0188848268983341,0.2586198154345401
linq,0.0614035087719298,2.5875899187496765e-05,0.1970979210139887
asp.net-web-api,0.0614035087719298,0.053419633104008,0.2248302918099268
html,0.0526315789473684,0.0011514775138436,0.2471891053600853
ios,0.0526315789473684,0.0384871730936006,0.17896491228070177
wordpress,0.0526315789473684,0.0156738946678397,0.22426680736930044
postgresql,0.0526315789473684,0.0876183033961329,0.23861988304093565
codeigniter,0.0526315789473684,0.0071640447047992,0.24448758508292587
wpf,0.0526315789473684,0.0,0.1966647387700019
twitter-bootstrap,0.0526315789473684,0.0,0.2300320209263519
maven,0.043859649122807,0.0396335043796618,0.1928501209921355
sql,0.043859649122807,0.0307405682347461,0.1970979210139887
rest,0.043859649122807,0.1137011800495731,0.22539661496310046
objective-c,0.043859649122807,0.0179319981369352,0.17208164642375168
azure,0.043859649122807,0.054000196569856,0.2120437349297414
express,0.043859649122807,0.0035544972200771,0.2198586145954567
c++,0.0350877192982456,0.0293891450714925,0.19161125511852437
xcode,0.0350877192982456,0.0,0.14988686120661787
iphone,0.0350877192982456,0.0,0.14988686120661787
osx,0.0350877192982456,0.0663555165185346,0.2038324741238061
swift,0.0350877192982456,0.0,0.14988686120661787
java-ee,0.0350877192982456,0.0,0.18603421235000184
json,0.0350877192982456,0.1231976350513844,0.2458309234625024
jsp,0.0350877192982456,0.0,0.18603421235000184
redux,0.0350877192982456,5.175179837499353e-05,0.18004518338098768
amazon-web-services,0.0350877192982456,0.0564373739734708,0.20290806381031945
jenkins,0.0350877192982456,0.0598185161110172,0.20290806381031945
docker,0.0350877192982456,0.0308140396752413,0.19753301576236396
laravel,0.0350877192982456,0.015525539512498,0.21562037624180933
c,0.0350877192982456,0.0293891450714925,0.19161125511852437
redis,0.0350877192982456,0.0197478813687476,0.2231482696766855
git,0.0350877192982456,0.0517757748125703,0.2120437349297414
android,0.0263157894736842,0.031330538736221,0.1737523420200988
r,0.0263157894736842,0.015525539512498,0.17754455583402953
apache,0.0263157894736842,0.1308718606343199,0.2549357724796321
react-native,0.0263157894736842,0.0,0.17968364686817445
devops,0.0263157894736842,0.0152885001627432,0.1970979210139887
django,0.0263157894736842,0.0577908224019076,0.22596579833421937
windows,0.0263157894736842,0.015525539512498,0.1966647387700019
less,0.0263157894736842,0.0,0.20290806381031945
vb.net,0.0263157894736842,0.0,0.1953765417911591
nginx,0.0263157894736842,0.02033621969812,0.22944219523166892
bash,0.0263157894736842,0.0010945505356311,0.2006333097317284
spring-boot,0.0263157894736842,0.0,0.1747704221491228
web-services,0.0263157894736842,0.0,0.1966647387700019
scala,0.0263157894736842,0.0003105107902499,0.02631578947368421
elasticsearch,0.0175438596491228,0.0,0.20199200031681913
hadoop,0.0175438596491228,0.0,0.019736842105263157
excel-vba,0.0175438596491228,0.0,0.017543859649122806
apache-spark,0.0175438596491228,0.0,0.019736842105263157
twitter-bootstrap-3,0.0175438596491228,0.0,0.2198586145954567
excel,0.0175438596491228,0.0,0.017543859649122806
angular2,0.0175438596491228,0.0307405682347461,0.20153706337916866
vba,0.0175438596491228,0.0,0.017543859649122806
bootstrap,0.0175438596491228,0.0,0.2204001382767263
machine-learning,0.0175438596491228,0.0,0.17719298245614035
plsql,0.0175438596491228,0.0,0.16181275974746995
shell,0.0175438596491228,0.0,0.1928501209921355
ruby,0.0175438596491228,0.0,0.18878155303871494
ruby-on-rails,0.0175438596491228,0.0,0.18878155303871494
typescript,0.0175438596491228,0.015525539512498,0.16509678254677285
oracle,0.0175438596491228,0.0,0.16181275974746995
flask,0.0175438596491228,0.0,0.19840899365931458
unix,0.0087719298245614,0.0,0.19243538954914166
vue.js,0.0087719298245614,0.0,0.1737523420200988
matlab,0.0087719298245614,0.0,0.14814976182177297
perl,0.0087719298245614,0.0,0.008771929824561403
ubuntu,0.0087719298245614,0.0,0.19243538954914166
xml,0.0087719298245614,0.0,0.1928501209921355
powershell,0.0087719298245614,0.0,0.16122965070333492
testing,0.0087719298245614,0.0,0.008771929824561403
regex,0.0087719298245614,0.0,0.008771929824561403
angular,0.0087719298245614,0.0,0.13938077280428485
tdd,0.0087719298245614,0.0,0.008771929824561403
mvc,0.0087719298245614,0.0,0.19326664393164336
android-studio,0.0087719298245614,0.0,0.14549992868349734
embedded,0.0087719298245614,0.0,0.15781738296358178
xamarin,0.0087719298245614,0.0,0.1714223297707871
unity3d,0.0087719298245614,0.0,0.1714223297707871
visual-studio,0.0087719298245614,0.0,0.1714223297707871
qt,0.0087719298245614,0.0,0.15781738296358178
photoshop,0.0087719298245614,0.0,0.20018446563836884
go,0.0087719298245614,0.0,0.16181275974746995
agile,0.0087719298245614,0.0,0.008771929824561403
drupal,0.0087719298245614,0.0,0.17932355939950076
eclipse,0.0087719298245614,0.0,0.1586568371282817
ionic-framework,0.0087719298245614,0.0,0.1997376253132832
api,0.0087719298245614,0.0,0.18004518338098768
github,0.0087719298245614,0.0,0.1714223297707871
haskell,0.0087719298245614,0.0,0.015789473684210523
cloud,0.0087719298245614,0.0,0.1654019522002789
selenium,0.0087719298245614,0.0,0.008771929824561403
